Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
hotel fountain,ranchi,0,0,0,0,0,0,0,0,0
samargarh resorts and hotel,ranchi,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,restaurant,room service,full-service laundry
the cennet ranchi,ranchi,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,0
hotel sohrai inn,ranchi,free breakfast,free wi-fi,free parking,pool,air conditioning,room service,airport shuttle,full-service laundry,accessible
chanakya bnr hotel,ranchi,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
"hotel green horizon station road, ranchi. 834001",ranchi,3-star hotel,free breakfast,free wi-fi,paid parking,pool,fitness center,restaurant,room service,full-service laundry
capitol hill,ranchi,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
divisha the bali resort,ranchi,0,0,0,0,0,0,0,0,0
divisha hotel marina,ranchi,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,spa,bar,restaurant
"le lac sarovar portico, ranchi",ranchi,4-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,bar,restaurant,room service
hotel avn grand,ranchi,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,restaurant,room service,airport shuttle
the royal retreat,ranchi,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant,room service
treebo trend lalaji's executive,aurangabad,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
treebo trend admiral suites,aurangabad,free breakfast,free wi-fi,pool,air conditioning,room service,kitchen,full-service laundry,0,0
zostel aurangabad,aurangabad,breakfast,free wi-fi,free parking,air conditioning,smoke-free,0,0,0,0
mtdc aurangabad resort,aurangabad,free breakfast,paid parking,pool,restaurant,kitchen,airport shuttle,full-service laundry,kid-friendly,0
hotel royal regency,aurangabad,2-star hotel,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
hotel modi samrat,aurangabad,2-star hotel,breakfast,free wi-fi,free parking,restaurant,room service,kitchen,full-service laundry,smoke-free
ginger aurangabad,aurangabad,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
hotel j p international,aurangabad,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel holiday era lodging,aurangabad,2-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
7 apple hotel - aurangabad,aurangabad,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,full-service laundry,accessible,kid-friendly
hotel holiday pride,aurangabad,0,0,0,0,0,0,0,0,0
hotel the sky court,aurangabad,3-star hotel,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,airport shuttle,full-service laundry
"welcomhotel by itc hotels, rama international, aurangabad-premium business & leisure hotel| near ajanta ellora caves",aurangabad,5-star hotel,breakfast,wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
"ambassador ajanta hotel, aurangabad",aurangabad,3-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"the fern residency, aurangabad",aurangabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
aurangabad gymkhana club hotel,aurangabad,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel grand ecotel,aurangabad,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
hotel kartiki,aurangabad,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry,kid-friendly
lemon tree hotel,aurangabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
enrise by sayaji,aurangabad,3-star hotel,free breakfast,free wi-fi,pool,restaurant,room service,kitchen,airport shuttle,full-service laundry
the manor hotel,aurangabad,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
radhika ex,aurangabad,breakfast,free wi-fi,paid parking,pool,air conditioning,kitchen,kid-friendly,smoke-free,0
novotel ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
the grand bhagwati,ahmedabad,4-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,airport shuttle
"holiday inn express ahmedabad prahlad nagar, an ihg hotel",ahmedabad,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle,accessible
"taj skyline, ahmedabad",ahmedabad,5-star hotel,free breakfast,free wi-fi,free parking,pool,spa,restaurant,room service,airport shuttle
hyatt regency ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"welcomhotel by itc hotels, ashram road, ahmedabad",ahmedabad,5-star hotel,free breakfast,free wi-fi,free parking,hot tub,fitness center,spa,restaurant,room service
hotel eldorado,ahmedabad,3-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
courtyard by marriott ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"itc narmada, a luxury collection hotel, ahmedabad",ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
novotel ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
hyatt ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
ramada by wyndham ahmedabad,ahmedabad,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,spa,restaurant,room service
radhe upavan resort,ahmedabad,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
agrasen foundation,ahmedabad,0,0,0,0,0,0,0,0,0
aarya grand hotels & resorts,ahmedabad,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
doubletree by hilton ahmedabad,ahmedabad,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"fortune select sg highway, ahmedabad - member itc's hotel group",ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
in&out ac dormitory ahmedabad,ahmedabad,1-star hotel,free wi-fi,paid parking,pool,restaurant,airport shuttle,full-service laundry,0,0
tribecca select,ahmedabad,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
bloomsuites | ahmedabad,ahmedabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
deewanji ni haveli | rooms & restaurant,ahmedabad,sleeps 12,3 bedrooms,air conditioning,fireplace,paid parking,free wi-fi,no crib,no elevator,no fitness center
"welcomhotel by itc hotels, ashram road, ahmedabad",ahmedabad,5-star hotel,free breakfast,free wi-fi,free parking,hot tub,fitness center,spa,restaurant,room service
hyatt regency ahmedabad,ahmedabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"holiday inn amritsar ranjit avenue, an ihg hotel",amritsar,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
regenta central amritsar,amritsar,5-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,spa,bar,restaurant
fairfield by marriott amritsar,amritsar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
regenta central amritsar,amritsar,5-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,spa,bar,restaurant
courtyard by marriott amritsar,amritsar,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hyatt regency amritsar,amritsar,5-star hotel,breakfast,free wi-fi,free parking,air conditioning,fitness center,spa,bar,restaurant
fabhotels - hotel le golden,amritsar,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
regenta place amritsar,amritsar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
madpackers amritsar,amritsar,free wi-fi,kitchen,full-service laundry,0,0,0,0,0,0
"taj swarna, amritsar",amritsar,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
ramada by wyndham amritsar,amritsar,4-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,restaurant,room service
treehouse london street amritsar,amritsar,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,full-service laundry,0,0
holidayvilla amritsar,amritsar,4-star hotel,free breakfast,free wi-fi,air conditioning,room service,kitchen,full-service laundry,0,0
"holiday inn amritsar ranjit avenue, an ihg hotel",amritsar,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
hotel amritsar international,amritsar,3-star hotel,free breakfast,wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly
hotel anchit - walking distance to golden temple,amritsar,breakfast,free wi-fi,pool,air conditioning,room service,full-service laundry,smoke-free,0,0
amritsar grand hotel by levelup hotels,amritsar,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,restaurant,room service,airport shuttle
br grand amritsar,amritsar,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,0,0
"serenity bangla, amritsar",amritsar,sleeps 4,1 bedroom,air conditioning,fireplace,kitchen,free parking,free wi-fi,no crib,no elevator
the landmark amritsar : near golden temple,amritsar,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,business center
hotel sapphire opposite golden temple,amritsar,3-star hotel,breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
shine star by tag your trip near golden temple,amritsar,house,sleeps 9,3 bedrooms,air conditioning,fireplace,kitchen,cable tv,paid parking,free wi-fi
amritsar grand hotel by levelup hotels,amritsar,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,restaurant,room service,airport shuttle
fairfield by marriott amritsar,amritsar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
hotel nagpal regency,ludhiana,3-star hotel,breakfast,wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
hotel gulmor - hotel in ludhiana,ludhiana,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
"radisson blu hotel, ludhiana",ludhiana,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel brown,ludhiana,3-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,kitchen,full-service laundry,0
clarks inn express ludhiana,ludhiana,free wi-fi,paid parking,pool,room service,kitchen,full-service laundry,0,0,0
hotel gulmor - hotel in ludhiana,ludhiana,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
keys select ludhiana - by lemon tree hotels,ludhiana,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
hotel ludhiana regency,ludhiana,breakfast,free wi-fi,free parking,bar,restaurant,room service,kitchen,full-service laundry,kid-friendly
regenta central klassik,ludhiana,4-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar
the palm court,ludhiana,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
hotel maharaja regency,ludhiana,3-star hotel,free breakfast,wi-fi,paid parking,pool,air conditioning,bar,restaurant,room service
hotel the retro regency,ludhiana,breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,full-service laundry,smoke-free,0
hotel kohinoor palace & banquets,ludhiana,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
park plaza ludhiana,ludhiana,5-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar
leo fort hotel,ludhiana,free breakfast,wi-fi,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly,0
hotel nat grand regency,ludhiana,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry,accessible
aagaaz hotel,ludhiana,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry,accessible
grand marian hotel,ludhiana,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
hyatt regency ludhiana,ludhiana,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
itsy by treebo - p grand,ludhiana,free breakfast,free wi-fi,air conditioning,room service,kitchen,full-service laundry,kid-friendly,0,0
the stories,ludhiana,free breakfast,free wi-fi,free parking,pool,restaurant,room service,kitchen,full-service laundry,accessible
hotel hyphen premier,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
capital o74359 hotel mukut mahal,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,room service,full-service laundry,kid-friendly
hotel travel inn,meerut,3-star hotel,free wi-fi,paid parking,pool,air conditioning,kitchen,full-service laundry,0,0
hotel downtown,meerut,free wi-fi,pool,kitchen,full-service laundry,smoke-free,0,0,0,0
garden city resorts | rooms & restaurant,meerut,sleeps 9,3 bedrooms,air conditioning,elevator,fireplace,cable tv,paid parking,no crib,no fitness center
hotel hyphen premier,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
crystal palace,meerut,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,bar,restaurant,room service,airport shuttle
capital o74359 hotel mukut mahal,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,room service,full-service laundry,kid-friendly
the grand alora | best family restaurent in meerut,meerut,0,0,0,0,0,0,0,0,0
hotel green embassy (rooms and restaurant),meerut,0,0,0,0,0,0,0,0,0
-,meerut,free wi-fi,paid parking,air conditioning,kitchen,full-service laundry,0,0,0,0
hotel samrat heavens,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,bar,restaurant,room service
tivoli imperial resort,meerut,0,0,0,0,0,0,0,0,0
3rd milestone,meerut,0,0,0,0,0,0,0,0,0
green serene abode,meerut,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,room service,airport shuttle,accessible,kid-friendly
crystal palace,meerut,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,bar,restaurant,room service,airport shuttle
hotel samrat heavens,meerut,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,bar,restaurant,room service
grand mercure vadodara surya palace,vadodara,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"the fern - an ecotel hotel, vadodara",vadodara,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
courtyard by marriott vadodara,vadodara,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
shagun residency,vadodara,4-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
agrawal bhavan guest house,vadodara,2-star hotel,free wi-fi,free parking,pool,full-service laundry,0,0,0,0
grand mercure vadodara surya palace,vadodara,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
hotel royal vadodara,vadodara,2-star hotel,breakfast,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
four points by sheraton vadodara,vadodara,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
best western alkapuri,vadodara,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
hotel ideal vadodara,vadodara,3-star hotel,free wi-fi,air conditioning,room service,kitchen,full-service laundry,kid-friendly,0,0
kabir hotel and spa,vadodara,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
effotel by sayaji vadodara,vadodara,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
regenta inn vadodara,vadodara,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,fitness center,spa,restaurant,room service
sayaji hotel vadodara,vadodara,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
royal orchid central,vadodara,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
7 apple hotel - vadodara,vadodara,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,accessible
hotel express residency,vadodara,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
comfort inn donil,vadodara,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,restaurant
vivanta vadodara,vadodara,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
ginger vadodara,vadodara,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
four points by sheraton vadodara,vadodara,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
hotel casa vadodara (treebo trend casa),vadodara,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
treebo trip kiran - hotel in raipur,raipur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
the downton hotel,raipur,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service,airport shuttle
hotel meera,raipur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen
"tulip arena | hotel, club & events by sgl |",raipur,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service,kitchen
le roi raipur hotel,raipur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
club paraiso,raipur,3-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
aloha city stay,raipur,2-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel shivam residency,raipur,breakfast,free wi-fi,paid parking,pool,air conditioning,room service,kitchen,airport shuttle,full-service laundry
"hotel singhania sarovar portico,raipur",raipur,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hyatt raipur,raipur,5-star hotel,breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
sayaji hotel raipur,raipur,4-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,bar,restaurant
shri shiva palace,raipur,3-star hotel,air conditioning,kitchen,airport shuttle,full-service laundry,kid-friendly,0,0,0
citrus prime raipur,raipur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
hotel vennington court,raipur,4-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"babylon international, raipur",raipur,4-star hotel,free breakfast,free wi-fi,free parking,pool,restaurant,room service,kitchen,airport shuttle
hotel grand canyon,raipur,4-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"babylon capital, raipur",raipur,breakfast,free wi-fi,free parking,pool,air conditioning,spa,restaurant,room service,full-service laundry
hotel trimurti inn,raipur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,kitchen,full-service laundry
hotel punjab palace,raipur,3-star hotel,free breakfast,wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
hotel shanti home,raipur,3-star hotel,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
hotel vennington court,raipur,4-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel simran,raipur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
treebo trend c plaza - mg road vijayawada,vijayawada,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry
treebo trend alankar inn,vijayawada,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,full-service laundry,business center
hotel sree vasudev,vijayawada,free wi-fi,pool,air conditioning,room service,kitchen,airport shuttle,full-service laundry,accessible,0
hotel kosala,vijayawada,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry
"lemon tree premier,vijayawada",vijayawada,free breakfast,free wi-fi,free parking,pool,fitness center,spa,restaurant,room service,kitchen
hotel mamata,vijayawada,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
mango hotels vybrant,vijayawada,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen
new continental park hotel,vijayawada,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
"red fox hotel, vijayawada",vijayawada,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle,full-service laundry
"park iris hotels, vijayawada",vijayawada,free breakfast,free wi-fi,paid parking,pool,restaurant,full-service laundry,0,0,0
the eden park boutique hotel,vijayawada,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
hotel sai rama,vijayawada,free breakfast,free wi-fi,paid parking,pool,air conditioning,room service,kitchen,full-service laundry,kid-friendly
hotel minerva grand vijayawada,vijayawada,4-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
vishnu paradise,vijayawada,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen,airport shuttle
hotel aira,vijayawada,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
"vivanta vijayawada, mg road",vijayawada,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel manorama,vijayawada,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
haian - an olive tree hotel - hotel in vijayawada,vijayawada,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
hotel sk riverfront,vijayawada,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,smoke-free,0
treebo trend arka vijayawada,vijayawada,free breakfast,free wi-fi,paid parking,pool,room service,kitchen,full-service laundry,business center,0
hotel park n,vijayawada,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
ibis coimbatore city centre,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,fitness center,restaurant,room service
hash six hotels,coimbatore,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
hotel grand palace,coimbatore,3-star hotel,free wi-fi,free parking,air conditioning,breakfast,restaurant,room service,airport shuttle,full-service laundry
holiday residency,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
ivy residency,coimbatore,free wi-fi,free parking,air conditioning,0,0,0,0,0,0
"crystal lake suites, coimbatore",coimbatore,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry,accessible
sugam hotel pvt ltd,coimbatore,2-star hotel,free breakfast,free wi-fi,room service,full-service laundry,kid-friendly,0,0,0
hotel lovely nest,coimbatore,breakfast,wi-fi,free parking,air conditioning,pet-friendly,kitchen,airport shuttle,full-service laundry,kid-friendly
hotel raamus,coimbatore,1-star hotel,free breakfast,wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,full-service laundry
hotel thaai coimbatore - opposite railway station,coimbatore,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
hotel vintage castle,coimbatore,free wi-fi,free parking,air conditioning,room service,airport shuttle,full-service laundry,accessible,business center,0
hotel kooloth lake view residency,coimbatore,2-star hotel,free breakfast,free wi-fi,air conditioning,room service,full-service laundry,kid-friendly,0,0
istay - hotels in coimbatore,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
ibis coimbatore city centre,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,fitness center,restaurant,room service
hotel chanma international,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
chetinaad courtyard,coimbatore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
"welcomhotel by itc hotels, race course, coimbatore- leed® platinum and zero carbon certified premium hotel| centrally located",coimbatore,5-star hotel,wi-fi,free parking,pool,air conditioning,fitness center,spa,bar,restaurant
"hotel vijay park inn, ramnagar, coimbatore, tamilnadu",coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
"fabhotel jansi deluxe - hotel in gandhipuram, coimbatore",coimbatore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,room service,kitchen,full-service laundry,kid-friendly
plaza inn,coimbatore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
ikon by annapoorna,coimbatore,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
itsy by treebo - corner stay,coimbatore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,room service,kitchen,full-service laundry,kid-friendly
hotel the grand palace,ghaziabad,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa,room service
the roseman hotel & suites,ghaziabad,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen,airport shuttle
taj studios - luxury stay in gaur city mall (1st time in greate noida west),ghaziabad,sleeps 3,1 bedroom,air conditioning,elevator,fireplace,kitchen,cable tv,paid parking,free wi-fi
mahagun sarovar portico suites,ghaziabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
swiss hotel,ghaziabad,3-star hotel,free breakfast,paid parking,pool,restaurant,room service,full-service laundry,kid-friendly,0
the roseman hotel & suites,ghaziabad,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen,airport shuttle
hotel royal park,ghaziabad,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
"country inn & suites by radisson, sahibabad, distt ghaziabad (u.p.)",ghaziabad,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"luxury stay in mall with pvr, shopper stop, lifestyle, food court with all brands",ghaziabad,sleeps 2,1 bedroom,air conditioning,elevator,fireplace,kitchen,paid parking,free wi-fi,no crib
green palms hotel,ghaziabad,free breakfast,free wi-fi,paid parking,pool,bar,restaurant,room service,kitchen,full-service laundry
hotel krishna sagar nh 24,ghaziabad,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
golden tulip vasundhara,ghaziabad,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
kinsfolk,ghaziabad,free breakfast,free wi-fi,paid parking,pool,room service,kitchen,full-service laundry,0,0
rosellia banquets & suites,ghaziabad,0,0,0,0,0,0,0,0,0
