Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
sarovar portico naraina,delhi,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
hyatt centric janakpuri new delhi,delhi,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"taj palace, new delhi",delhi,5-star hotel,breakfast,wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the pamposh,delhi,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,full-service laundry,business center,kid-friendly,0
caves by craftels,delhi,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,spa,restaurant,room service
bloomrooms @ janpath,delhi,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,full-service laundry
ramada by wyndham new delhi pitampura,delhi,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,accessible
bloom boutique | gk-1,delhi,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry
the grand parisian,delhi,3-star hotel,free breakfast,wi-fi,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
amigosindia,delhi,1-star hotel,breakfast,free wi-fi,paid parking,air conditioning,pet-friendly,restaurant,kitchen,airport shuttle
holiday inn express new delhi int'l airport t3,delhi,3-star hotel,free breakfast,free wi-fi,air conditioning,fitness center,spa,paid parking,bar,restaurant
"welcomhotel by itc hotels, dwarka, new delhi - contemporary hotel in the capital | ideal for business & leisure travellers",delhi,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
treebo trend lazystay grand - hotel in bhubaneswar,bhubaneswar,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,0
"mayfair convention, bhubaneswar",bhubaneswar,4-star hotel,free breakfast,free wi-fi,free parking,hot tub,air conditioning,fitness center,spa,bar
hello stay hotel bhubaneswar,bhubaneswar,breakfast,free wi-fi,paid parking,air conditioning,kitchen,airport shuttle,full-service laundry,kid-friendly,0
hotel sj pride,bhubaneswar,2-star hotel,free wi-fi,pool,restaurant,kitchen,airport shuttle,full-service laundry,0,0
empires hotel bhubaneswar,bhubaneswar,3-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar
"mayfair convention, bhubaneswar",bhubaneswar,4-star hotel,free breakfast,free wi-fi,free parking,hot tub,air conditioning,fitness center,spa,bar
"mango hotels–prangan, bhubaneswar",bhubaneswar,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
mayfair lagoon,bhubaneswar,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
venus inn restaurant,bhubaneswar,4-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
ginger bhubaneshwar,bhubaneswar,2-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
the greenstar inn premium,bhubaneswar,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen,0
ira by orchid bhubaneswar ( formerly vits bhubaneswar ),bhubaneswar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
swosti premium - luxury 5-star hotel in bhubaneswar,bhubaneswar,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
"vivanta bhubaneswar, dn square",bhubaneswar,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
"welcomhotel by itc hotels, bhubaneswar-leed platinum certified premium hotel near the airport| 1.5 hrs away from puri",bhubaneswar,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel excellency (a unit of excellency resorts pvt. ltd.),bhubaneswar,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
super oyo townhouse 235 swain heritage,bhubaneswar,apartment,sleeps 4,2 bedrooms,air conditioning,cable tv,free wi-fi,no airport shuttle,no beach access,no elevator
treebo trend oasis,bhubaneswar,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,kitchen,full-service laundry
