Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Image
Hotel Centro,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/81/8d/82/el-restaurant-de-noche.jpg?w=1200&h=-1&s=1
St Laurn Hotel,3.9,pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/32/bd/51/st-laurn-hotel.jpg?w=600&h=-1&s=1
Cherry Tree | Rooms & Wi-Fi,3.6,pune,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,1588,"https://r1imghtlak.mmtcdn.com/5cbc85bec7d111e9a2700242ac110002.jpeg?&output-quality=75&downsize=910:612&crop=910:612;0,35&output-format=jpg"
Fairfield by Marriott Pune Kharadi,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280,https://cf.bstatic.com/xdata/images/hotel/max1024x768/528523190.jpg?k=3ee8d796e2887c0758a68cd6ab8a5ec6adf48dd6dfbeadc1fb3c164a537071da&o=&hp=1
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/cd/3a/db/main-entrance.jpg?w=1200&h=-1&s=1
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5145,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/b0/b8/e0/exterior-view.jpg?w=1100&h=-1&s=1
Park Plaza Chennai OMR,4.1,chennai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4704,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/2b/f5/5e/park-plaza-chennai-omr.jpg?w=1000&h=-1&s=1
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/61/90/69/avenue-11.jpg?w=1200&h=-1&s=1
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,9753,https://www.getchennaihotels.com/data/Photos/OriginalPhoto/13167/1316734/1316734405/chennai-photo-7.JPEG
Juhu Beach House ECR,4.5,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0,4965,https://a0.muscache.com/im/pictures/dd298e20-c0da-4d61-873b-09463194262d.jpg?im_w=1200
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677,https://cf.bstatic.com/xdata/images/hotel/max1024x768/389693144.jpg?k=e4af9d77ef7e6b8f98b310c5d19470cdc790143b0177c2e1d123c3e2a354f095&o=&hp=1
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267,https://cf.bstatic.com/xdata/images/hotel/max1024x768/17718868.jpg?k=9805c0d06dd3bec9e9d16a61bc838cef0ed22a1259aa77289d3afc74bf6a4514&o=&hp=1
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f4/04/12/regenta-central-rs.jpg?w=1200&h=-1&s=1
